Split,Übung,Sätze,Wiederholungen,Gewicht,Pause,Notizen,Kategorie,Schwierigkeit,Split-Beschreibung,Split-Dauer,Split-Fokus,Split-Schwierigkeit
Tag 1 - Oberkörper,Assisted Pull-ups,4,6,0,120,Aufbau zur selbstständigen Klimmzug-Kraft,Main,Hard,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1 - Oberkörper,Seated Cable Row,4,10,25,90,Schulterblätter zusammenziehen,Main,Medium,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1 - Oberkörper,Face Pulls,3,15,15,60,Wichtig für hintere Schulter und Haltung,Main,Easy,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1 - Oberkörper,Incline Push-ups,3,10,0,90,Schonender für Trichterbrust als flache Liegestütze,Main,Medium,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1 - Oberkörper,Dips,3,8,0,90,Kontrollierte Bewegung nicht zu tief,Main,Hard,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1 - Oberkörper,Tricep Dips,3,12,0,60,An der Bank,Main,Easy,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1 - Oberkörper,Plank,3,45,0,60,45-60 Sekunden halten,Stabilisation,Medium,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1 - Oberkörper,Dead Bug,3,10,0,60,Pro Seite,Stabilisation,Easy,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1 - Oberkörper,Bird Dog,3,8,0,60,Pro Seite,Stabilisation,Easy,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1 - Oberkörper,Wall Sit,3,30,0,60,30-45 Sekunden halten,Stabilisation,Medium,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 2 - Ganzkörper,Goblet Squats,4,12,20,90,Wichtig für Haltungskorrektur,Main,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2 - Ganzkörper,Bulgarian Split Squats,3,10,0,120,Pro Bein,Main,Hard,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2 - Ganzkörper,Glute Bridges,3,15,0,60,Wichtig für Haltungskorrektur,Main,Easy,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2 - Ganzkörper,Lat Pulldown,4,10,30,90,Enger Griff,Main,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2 - Ganzkörper,Push-ups,3,12,0,90,Standard Ausführung,Main,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2 - Ganzkörper,Seated Shoulder Press,3,10,15,90,Schulterdrücken,Main,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2 - Ganzkörper,L-Sit Progression,3,15,0,60,Beine angewinkelt 10-20 Sek,Stabilisation,Hard,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2 - Ganzkörper,Russian Twists,3,20,0,60,20 Wiederholungen,Stabilisation,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2 - Ganzkörper,Hollow Body Hold,3,25,0,60,20-30 Sekunden halten,Stabilisation,Hard,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2 - Ganzkörper,Side Plank,3,30,0,60,30 Sek pro Seite,Stabilisation,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 3 - Unterkörper,Romanian Deadlifts,4,10,40,120,Wichtig für Haltungskorrektur,Main,Hard,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3 - Unterkörper,Hip Thrusts,4,12,0,90,12-15 Wiederholungen,Main,Medium,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3 - Unterkörper,Reverse Hyperextensions,3,12,0,60,12-15 Wiederholungen,Main,Medium,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3 - Unterkörper,Negative Pull-ups,3,3,0,180,Langsam runterlassen 3-5 Sek,Main,Hard,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3 - Unterkörper,Bent-over Rows,4,10,25,90,Überzüge,Main,Medium,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3 - Unterkörper,Reverse Flyes,3,12,8,60,12-15 Wiederholungen,Main,Easy,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3 - Unterkörper,Step-ups,3,10,0,90,Pro Bein,Funktionell,Medium,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3 - Unterkörper,Farmers Walk,3,30,0,60,30 Sekunden tragen,Funktionell,Medium,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3 - Unterkörper,Bear Crawl,3,10,0,60,10 Schritte vorwärts/rückwärts,Funktionell,Hard,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3 - Unterkörper,Superman,3,12,0,60,12-15 Wiederholungen,Funktionell,Easy,Unterkörper + Rücken,90,Unterkörper,Advanced